Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date,Match No
1,17,11,0,0,9.09,1,lbw,1,,v Bangladesh,Bridgetown,19 Apr 2007,2576
79,105,58,10,3,136.20,1,caught,1,,v England,Bridgetown,21 Apr 2007,2578
6,12,14,1,0,42.85,1,caught,2,,v England,Lord's,1 Jul 2007,2594
36,55,40,2,3,90.00,1,caught,1,,v England,Birmingham,4 Jul 2007,2597
82,171,126,8,0,65.07,1,caught,1,,v England,Nottingham,7 Jul 2007,2598
51*,50,45,6,1,113.33,1,not out,2,,v Netherlands,Dublin,10 Jul 2007,2599
85*,122,94,8,3,90.42,1,not out,2,,v Scotland,Dublin,12 Jul 2007,2601
TDNB,-,-,-,-,-,-,-,-,,v Ireland,Dublin,14 Jul 2007,2603
2,10,9,0,0,22.22,1,caught,2,,v Zimbabwe,Harare,30 Nov 2007,2649
58*,102,78,4,2,74.35,1,retired notout,1,,v Zimbabwe,Harare,2 Dec 2007,2651
52,-,81,8,1,64.19,1,lbw,2,,v Sri Lanka,Port of Spain,10 Apr 2008,2697
11,-,20,1,0,55.00,1,caught,2,,v Sri Lanka,Port of Spain,12 Apr 2008,2699
DNB,-,-,-,-,-,-,-,2,,v Sri Lanka,Gros Islet,15 Apr 2008,2701
20,37,26,3,0,76.92,2,lbw,2,,v Australia,Kingstown,24 Jun 2008,2713
10,39,24,2,0,41.66,2,caught,2,,v Australia,St George's,27 Jun 2008,2719
53,85,54,5,3,98.14,1,run out,1,,v Australia,St George's,29 Jun 2008,2724
92,173,92,6,4,100.00,1,caught,2,,v Australia,Basseterre,4 Jul 2008,2734
5,6,8,1,0,62.50,1,caught,2,,v Australia,Basseterre,6 Jul 2008,2736
19,41,26,3,0,73.07,2,caught,1,,v Canada,King City (NW),22 Aug 2008,2749
110*,-,77,14,6,142.85,2,not out,2,,v Canada,King City (NW),24 Aug 2008,2752
113,128,106,11,5,106.60,1,caught,1,,v Pakistan,Abu Dhabi,12 Nov 2008,2773
0,3,6,0,0,0.00,1,bowled,2,,v Pakistan,Abu Dhabi,14 Nov 2008,2775
122,200,137,5,6,89.05,1,caught,2,,v Pakistan,Abu Dhabi,16 Nov 2008,2776
25,54,36,1,1,69.44,1,caught,1,,v New Zealand,Queenstown,31 Dec 2008,2786
36,49,31,4,1,116.12,1,bowled,2,,v New Zealand,Christchurch,3 Jan 2009,2787
18,39,24,3,0,75.00,1,bowled,1,,v New Zealand,Wellington,7 Jan 2009,2788
46*,46,37,4,3,124.32,1,not out,2,,v New Zealand,Auckland,10 Jan 2009,2789
135,175,129,9,5,104.65,1,caught,1,,v New Zealand,Napier,13 Jan 2009,2792
2,9,11,0,0,18.18,1,lbw,2,,v England,Providence,20 Mar 2009,2826
20,26,20,4,0,100.00,1,bowled,1,,v England,Providence,22 Mar 2009,2827
80,48,43,5,8,186.04,1,bowled,2,,v England,Bridgetown,27 Mar 2009,2828
46,54,39,3,5,117.94,1,caught,1,,v England,Bridgetown,29 Mar 2009,2829
0,2,3,0,0,0.00,1,caught,2,,v England,Gros Islet,3 Apr 2009,2833
31,-,28,3,2,110.71,1,bowled,1,,v England,Bristol,24 May 2009,2850
11,-,10,2,0,110.00,1,caught,2,,v England,Birmingham,26 May 2009,2851
37,47,33,5,1,112.12,1,caught,2,,v India,Kingston,26 Jun 2009,2852
64,65,46,8,2,139.13,1,caught,2,,v India,Kingston,28 Jun 2009,2853
27,16,14,6,0,192.85,1,caught,1,,v India,Gros Islet,3 Jul 2009,2854
0,3,2,0,0,0.00,1,caught,1,,v India,Gros Islet,5 Jul 2009,2855
7,11,5,1,0,140.00,1,caught,2,,v Australia,Melbourne,7 Feb 2010,2950
0,1,1,0,0,0.00,1,lbw,1,,v Australia,Adelaide,9 Feb 2010,2952
0*,-,6,0,0,0.00,1,not out,2,,v Australia,Sydney,12 Feb 2010,2954
34,27,21,6,0,161.90,1,caught,2,,v Australia,Brisbane,14 Feb 2010,2955
14,-,5,0,2,280.00,1,caught,2,,v Australia,Melbourne,19 Feb 2010,2960
57,75,66,2,3,86.36,1,lbw,2,,v Zimbabwe,Providence,4 Mar 2010,2967
88,155,111,7,2,79.27,1,bowled,2,,v Zimbabwe,Providence,6 Mar 2010,2970
33,54,53,3,1,62.26,1,stumped,1,,v Zimbabwe,Kingstown,10 Mar 2010,2972
32,25,20,4,2,160.00,2,caught,2,,v Zimbabwe,Kingstown,12 Mar 2010,2974
63,55,41,8,2,153.65,2,caught,2,,v Zimbabwe,Kingstown,14 Mar 2010,2976
45,51,39,8,0,115.38,2,caught,2,,v South Africa,North Sound,22 May 2010,2979
26,43,35,3,1,74.28,1,caught,2,,v South Africa,North Sound,24 May 2010,2980
16,22,20,1,1,80.00,1,caught,2,,v South Africa,Roseau,28 May 2010,2982
29,-,28,4,0,103.57,2,caught,1,,v South Africa,Roseau,30 May 2010,2984
12,-,19,1,0,63.15,2,caught,1,,v South Africa,Port of Spain,3 Jun 2010,2987
4,15,11,0,0,36.36,1,caught,1,,v Sri Lanka,Colombo (SSC),31 Jan 2011,3092
28,47,30,4,1,93.33,1,caught,1,,v Sri Lanka,Colombo (SSC),3 Feb 2011,3096
0,1,1,0,0,0.00,1,bowled,2,,v Sri Lanka,Colombo (SSC),6 Feb 2011,3099
2,3,3,0,0,66.66,1,caught,1,,v South Africa,Delhi,24 Feb 2011,3106
80,136,110,7,2,72.72,2,caught,1,,v Netherlands,Delhi,28 Feb 2011,3112
37*,44,36,6,0,102.77,2,not out,2,,v Bangladesh,Dhaka,4 Mar 2011,3118
43,27,21,8,1,204.76,2,lbw,2,,v England,Chennai,17 Mar 2011,3135
8,12,9,2,0,88.88,2,caught,1,,v Pakistan,Dhaka,23 Mar 2011,3142
53,66,51,3,5,103.92,2,lbw,1,,v England,The Oval,19 Jun 2012,3278
63*,104,57,4,5,110.52,2,not out,2,,v New Zealand,Kingston,5 Jul 2012,3283
125,164,107,8,9,116.82,2,caught,1,,v New Zealand,Kingston,7 Jul 2012,3285
11,37,22,2,0,50.00,2,caught,2,,v New Zealand,Basseterre,11 Jul 2012,3288
16,28,17,1,1,94.11,2,lbw,1,,v New Zealand,Basseterre,14 Jul 2012,3289
5,20,12,1,0,41.66,2,caught,1,,v New Zealand,Basseterre,16 Jul 2012,3290
35,54,40,4,2,87.50,2,caught,1,,v Bangladesh,Khulna,30 Nov 2012,3309
15,34,22,2,1,68.18,2,caught,2,,v Bangladesh,Khulna,2 Dec 2012,3310
4,14,12,1,0,33.33,1,caught,2,,v Bangladesh,Dhaka,5 Dec 2012,3311
16,22,25,1,1,64.00,1,caught,1,,v Bangladesh,Dhaka,7 Dec 2012,3312
2,-,19,0,0,10.52,2,caught,1,,v Bangladesh,Dhaka,8 Dec 2012,3313
4,23,13,1,0,30.76,1,caught,1,,v Australia,Perth,1 Feb 2013,3330
4,7,7,0,0,57.14,1,lbw,2,,v Australia,Perth,3 Feb 2013,3331
2,14,5,0,0,40.00,5,bowled,2,,v Australia,Canberra,6 Feb 2013,3332
39,80,47,4,1,82.97,1,bowled,2,,v Pakistan,The Oval,7 Jun 2013,3364
21,19,18,4,0,116.66,1,caught,1,,v India,The Oval,11 Jun 2013,3368
36,49,27,5,1,133.33,1,caught,2,,v South Africa,Cardiff,14 Jun 2013,3371
109,129,100,9,7,109.00,1,caught,2,,v Sri Lanka,Kingston,28 Jun 2013,3378
11,9,9,2,0,122.22,1,caught,2,,v India,Kingston,30 Jun 2013,3380
10,11,13,2,0,76.92,1,caught,2,,v India,Port of Spain,5 Jul 2013,3383
14,22,17,3,0,82.35,1,caught,2,,v Sri Lanka,Port of Spain,7 Jul 2013,3385
1,23,8,0,0,12.50,1,run out,2,,v Pakistan,Providence,14 Jul 2013,3389
1,3,5,0,0,20.00,1,caught,1,,v Pakistan,Providence,16 Jul 2013,3390
8,20,12,1,0,66.66,1,bowled,2,,v Pakistan,Gros Islet,19 Jul 2013,3391
30,45,46,3,1,65.21,5,caught,1,,v Pakistan,Gros Islet,21 Jul 2013,3393
21,41,34,2,1,61.76,5,caught,1,,v Pakistan,Gros Islet,24 Jul 2013,3396
0,1,2,0,0,0.00,1,run out,1,,v India,Kochi,21 Nov 2013,3436
3,19,18,0,0,16.66,1,caught,2,,v Bangladesh,St George's,20 Aug 2014,3509
58,91,67,3,5,86.56,1,caught,1,,v Bangladesh,St George's,22 Aug 2014,3511
6,17,17,1,0,35.29,2,caught,1,,v Bangladesh,Basseterre,25 Aug 2014,3514
41,26,24,5,2,170.83,2,caught,2,,v South Africa,Durban,16 Jan 2015,3579
19,24,13,2,1,146.15,2,caught,2,,v South Africa,Johannesburg,18 Jan 2015,3583
1,18,5,0,0,20.00,2,caught,1,,v South Africa,East London,21 Jan 2015,3587
10,28,19,1,0,52.63,2,caught,2,,v South Africa,Port Elizabeth,25 Jan 2015,3591
0,1,1,0,0,0.00,1,caught,2,,v South Africa,Centurion,28 Jan 2015,3593
36,79,65,3,1,55.38,2,caught,1,,v Ireland,Nelson,16 Feb 2015,3603
4,21,14,0,0,28.57,2,caught,1,,v Pakistan,Christchurch,21 Feb 2015,3608
215,212,147,10,16,146.25,2,caught,1,,v Zimbabwe,Canberra,24 Feb 2015,3612
3,6,4,0,0,75.00,2,bowled,2,,v South Africa,Sydney,27 Feb 2015,3616
21,44,27,2,1,77.77,2,caught,1,,v India,Perth,6 Mar 2015,3625
61,77,33,2,8,184.84,1,bowled,2,,v New Zealand,Wellington,21 Mar 2015,3643
37,42,27,2,3,137.03,1,caught,1,,v England,Manchester,19 Sep 2017,3911
94,112,78,9,6,120.51,1,run out,2,,v England,Bristol,24 Sep 2017,3915
2,-,4,0,0,50.00,1,caught,1,,v England,The Oval,27 Sep 2017,3916
40,-,29,1,5,137.93,1,caught,1,,v England,Southampton,29 Sep 2017,3918
22,43,31,3,1,70.96,1,caught,1,,v New Zealand,Whangarei,20 Dec 2017,3943
4,3,6,1,0,66.66,1,caught,2,,v New Zealand,Christchurch,26 Dec 2017,3945
123,114,91,7,11,135.16,1,caught,1,,v U.A.E.,Harare,6 Mar 2018,3987
